,koi_disposition,koi_score,koi_impact,koi_impact_err1,koi_impact_err2,koi_tce_plnt_num,koi_steff_err1,koi_steff_err2,ra,dec
248,1,0.999,0.964,0.009,-0.679,2.0,0.6192068800764453,0.1589147286821706,0.4663818835459974,0.5108006941298244
249,1,1.0,0.21,0.217,-0.21,1.0,1.0,0.0,0.7139713412921704,0.5101290856900285
250,1,1.0,0.644,0.306,-0.445,2.0,1.0,0.0,0.7139713412921704,0.5101290856900285
251,1,0.997,0.093,0.014,-0.076,1.0,0.5809842331581462,0.41085271317829464,0.21335540309370948,0.5173105138825642
253,1,1.0,0.045,0.393,-0.045,3.5,0.34400382226469184,0.6511627906976745,0.22909081933054054,0.4768719524830787
254,1,1.0,0.649,0.23,-0.413,2.0,0.34400382226469184,0.6511627906976745,0.22909081933054054,0.4768719524830787
255,1,0.996,0.714,0.204,-0.473,3.5,0.34400382226469184,0.6511627906976745,0.22909081933054054,0.4768719524830787
257,1,1.0,0.45,0.411,-0.255,1.0,0.31724796942188244,0.7093023255813953,0.4352463822654524,0.48426534288552414
258,1,1.0,0.653,0.265,-0.444,2.0,0.31724796942188244,0.7093023255813953,0.4352463822654524,0.48426534288552414
259,1,0.9875,0.093,0.365,-0.093,3.0,0.31724796942188244,0.7093023255813953,0.4352463822654524,0.48426534288552414
260,1,1.0,0.395,0.008,-0.395,1.0,0.4242713807931199,0.5697674418604651,0.7599336044237646,0.4819551404484903
261,1,1.0,0.839,0.0,-0.594,2.0,0.4242713807931199,0.5697674418604651,0.7599336044237646,0.4819551404484903
262,1,1.0,0.11,0.342,-0.11,3.5,0.4242713807931199,0.5697674418604651,0.7599336044237646,0.4819551404484903
263,1,1.0,0.125,0.285,-0.125,2.0,0.44720496894409933,0.5465116279069768,0.5905410522227115,0.769838872230447
264,1,1.0,0.028,0.418,-0.028,3.0,0.4242713807931199,0.5697674418604651,0.7599336044237646,0.4819551404484903
265,1,1.0,0.061,0.063,-0.061,1.0,0.6344959388437649,0.3565891472868217,0.8563147753909757,0.4861212765694565
267,1,1.0,0.314,0.072,-0.314,1.0,0.5924510272336359,0.39922480620155043,0.19472775531628095,0.5059404793982143
269,1,1.0,0.535,0.034,-0.053,1.0,0.7376970855231725,0.0,0.24709065259641783,0.5762529728964285
271,1,0.999,0.348,0.027,-0.039,1.0,0.7376970855231725,0.0,0.7518735466070794,0.5755936558321388
273,1,0.9875,0.003,0.034,-0.003,1.0,0.3745819397993311,0.5775193798449613,0.4029921788656594,0.8189839526490124
275,1,1.0,0.799,0.058,-0.54,1.0,0.5733397037744864,0.3565891472868217,0.6150244209598767,0.5259305451500311
277,1,0.996,0.062,0.103,-0.042,1.0,0.31724796942188244,0.7170542635658914,0.17362983441625168,0.5271323471937155
279,1,1.0,0.751,0.166,-0.5,1.0,0.6230291447682752,0.43410852713178294,0.5341020179951759,0.5319815509014347
280,1,1.0,0.168,0.267,-0.168,2.0,0.5924510272336359,0.39922480620155043,0.5399079050137132,0.5301108931739269
281,1,1.0,0.206,0.192,-0.206,1.0,0.5924510272336359,0.39922480620155043,0.5399079050137132,0.5301108931739269
282,1,1.0,0.691,0.216,-0.466,3.0,0.5924510272336359,0.39922480620155043,0.5399079050137132,0.5301108931739269
283,1,1.0,0.933,0.038,-0.686,1.0,0.6153846153846153,0.375968992248062,0.6798579127216726,0.5413984730142527
285,1,1.0,0.001,0.372,-0.001,1.0,0.6077400860009555,0.313953488372093,0.5049948046951958,0.5465915151482559
288,1,1.0,0.032,0.321,-0.032,1.0,0.6459627329192547,0.1821705426356589,0.2845965150705769,0.5657175996300805
290,1,1.0,0.433,0.008,-0.433,1.0,0.4242713807931199,0.6937984496124031,0.5743007762451402,0.6094478810148756
291,1,1.0,0.341,0.096,-0.341,2.0,0.4242713807931199,1.0,0.5743007762451402,0.6094478810148756
292,1,1.0,0.271,0.189,-0.271,3.0,0.4242713807931199,1.0,0.5743007762451402,0.6094478810148756
293,1,1.0,0.646,0.274,-0.425,3.5,0.4242713807931199,1.0,0.5743007762451402,0.6094478810148756
294,1,1.0,0.041,0.205,-0.041,1.0,0.3898709985666507,0.6046511627906976,0.782261073031874,0.6049647298339655
295,1,0.999,0.079,0.045,-0.054,1.0,0.42044911610129,0.5736434108527132,0.43586162185726174,0.4972911280787575
297,1,1.0,0.033,0.335,-0.033,1.0,0.2866698518872432,0.6782945736434108,0.36864308698444503,0.5914666229298553
298,1,0.998,0.021,0.438,-0.021,3.0,0.2866698518872432,0.6782945736434108,0.36864308698444503,0.5914666229298553
299,1,1.0,0.508,0.011,-0.478,2.0,0.2866698518872432,0.6782945736434108,0.36864308698444503,0.5914666229298553
300,1,1.0,0.066,0.253,-0.065,1.0,0.45867176301958906,0.5348837209302326,0.6414867094741776,0.5938078738935602
301,1,1.0,0.142,0.189,-0.142,2.0,0.45867176301958906,0.5348837209302326,0.6414867094741776,0.5938078738935602
302,1,0.9875,0.147,0.276,-0.147,3.0,0.45867176301958906,0.5348837209302326,0.6414867094741776,0.5938078738935602
304,1,0.9875,0.081,0.261,-0.081,1.0,0.2713807931199235,0.6550387596899225,0.16219690368216888,0.6005738920045176
305,1,0.9875,0.009,0.398,-0.009,2.0,0.2713807931199235,0.6550387596899225,0.16219690368216888,0.6005738920045176
306,1,0.996,0.566,0.009,-0.009,1.0,0.3745819397993311,0.5775193798449613,0.742904834404607,0.8042362225683863
